Instance                         Solved   Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    True    1.228248        3353404                 53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    True    29.839064       77420556                57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    True    0.731262        1076767                 55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    True    69.019974       100193266               59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    True    14.456655       20947830                56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    True    0.994929        1420095                 56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    True    6.034611        8472449                 52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    True    59.564278       84954671                52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    True    10.317175       14700506                50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    True    0.179445        252954                  46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    True    30.724661       44048341                59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    True    17.628111       25663549                57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    True    0.124741        174848                  45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    True    0.604853        906155                  46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    True    25.417824       38277791                59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    True    89.738846       132488973               62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    True    1.475377        2070143                 42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    True    227.889954      270467849               66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    True    11.064040       11503614                55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    True    0.613368        594720                  46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    True    8.005149        8079205                 52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    True    23.981422       24479681                54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    True    51.432835       47314058                59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    True    1.083920        914885                  49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    True    20.846590       12960571                54
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    True    6.845031        6885954                 52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    True    52.633846       44135902     58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    True    39.887657       29426350     53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    True    2.146083        1675087      52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    True    3.300906        2159428      54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    True    0.597973        292356       47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    True    0.469857        225633       50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    True    149.060394      123443232    59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    True    33.528805       35594579     60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    True    0.939309        1023051      52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    True    8.294121        9408077      55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    True    7.563143        8100602      52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    True    32.494965       33487690     58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    True    2.452027        2525501      49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    True    9.133476        10152324     54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    True    21.467140       19809787     54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    True    0.096415        114472       42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    True    7.434332        8321528      64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    True    5.704693        6033591      50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    True    2.065283        2463841      51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    True    1.013816        1231659      49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    True    0.264889        311833       47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    True    0.130119        154606       49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    True    93.375832       101858205    59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    True    2.399121        3268952      53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    True    1.155297        1618962      56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    True    39.694672       43812055     56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    True    53.425522       62346329     64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    True    28.839783       30685008     56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    True    0.145666        170686       41
